リーグ名,チーム名,選手名,年度,日付,ストライクカウント,ボールカウント,結果
パリーグ,オリックス,ヘルマン,2014,07/10,2,2,左飛
パリーグ,オリックス,ヘルマン,2014,07/10,1,1,三ゴロ
パリーグ,オリックス,ヘルマン,2014,07/10,1,2,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,07/10,2,0,見三振
パリーグ,オリックス,ヘルマン,2014,07/10,0,0,二直
パリーグ,オリックス,ヘルマン,2014,07/09,1,3,右安
パリーグ,オリックス,ヘルマン,2014,07/09,1,1,二ゴロ
パリーグ,オリックス,ヘルマン,2014,07/09,2,2,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,07/09,2,3,左安
パリーグ,オリックス,ヘルマン,2014,07/09,1,3,四球
パリーグ,オリックス,ヘルマン,2014,07/08,1,3,四球
パリーグ,オリックス,ヘルマン,2014,07/08,2,2,右２(2)
パリーグ,オリックス,ヘルマン,2014,07/08,2,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,07/08,2,1,投ゴロ
パリーグ,オリックス,ヘルマン,2014,07/08,2,3,右飛
パリーグ,オリックス,ヘルマン,2014,07/06,2,3,中安
パリーグ,オリックス,ヘルマン,2014,07/06,2,1,投併打
パリーグ,オリックス,ヘルマン,2014,07/06,2,1,空三振
パリーグ,オリックス,ヘルマン,2014,07/05,2,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,07/05,2,3,三ゴロ
パリーグ,オリックス,ヘルマン,2014,07/05,0,3,三ゴロ
パリーグ,オリックス,ヘルマン,2014,07/05,2,3,二ゴロ
パリーグ,オリックス,ヘルマン,2014,07/03,2,2,中安(1)
パリーグ,オリックス,ヘルマン,2014,07/03,2,1,中飛
パリーグ,オリックス,ヘルマン,2014,07/03,0,1,中２(1)
パリーグ,オリックス,ヘルマン,2014,07/03,1,1,左安
パリーグ,オリックス,ヘルマン,2014,07/02,0,2,三邪飛
パリーグ,オリックス,ヘルマン,2014,07/02,1,2,一直
パリーグ,オリックス,ヘルマン,2014,07/02,2,3,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,07/02,1,1,左安
パリーグ,オリックス,ヘルマン,2014,07/02,0,1,遊併打
パリーグ,オリックス,ヘルマン,2014,07/01,2,1,空三振
パリーグ,オリックス,ヘルマン,2014,07/01,1,1,左安
パリーグ,オリックス,ヘルマン,2014,07/01,2,0,見三振
パリーグ,オリックス,ヘルマン,2014,07/01,0,3,四球
パリーグ,オリックス,ヘルマン,2014,07/01,1,3,中飛
パリーグ,オリックス,ヘルマン,2014,06/29,1,1,中安
パリーグ,オリックス,ヘルマン,2014,06/29,0,1,右安
パリーグ,オリックス,ヘルマン,2014,06/29,2,1,中飛
パリーグ,オリックス,ヘルマン,2014,06/29,2,0,空三振
パリーグ,オリックス,ヘルマン,2014,06/28,2,3,中安(1)
パリーグ,オリックス,ヘルマン,2014,06/28,2,2,左本(2)
パリーグ,オリックス,ヘルマン,2014,06/28,0,0,右飛
パリーグ,オリックス,ヘルマン,2014,06/28,2,3,四球
パリーグ,オリックス,ヘルマン,2014,06/27,2,1,右飛
パリーグ,オリックス,ヘルマン,2014,06/27,1,1,右飛
パリーグ,オリックス,ヘルマン,2014,06/27,2,2,空三振
パリーグ,オリックス,ヘルマン,2014,06/27,2,3,四球
パリーグ,オリックス,ヘルマン,2014,06/22,2,2,二ゴロ
パリーグ,オリックス,ヘルマン,2014,06/22,0,1,中飛
パリーグ,オリックス,ヘルマン,2014,06/22,0,0,投安
パリーグ,オリックス,ヘルマン,2014,06/22,1,2,一ゴロ
パリーグ,オリックス,ヘルマン,2014,06/22,2,3,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,06/21,2,3,右２
パリーグ,オリックス,ヘルマン,2014,06/21,2,3,四球
パリーグ,オリックス,ヘルマン,2014,06/21,2,1,投ゴロ
パリーグ,オリックス,ヘルマン,2014,06/21,2,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,06/18,2,2,中飛
パリーグ,オリックス,ヘルマン,2014,06/18,2,2,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,06/18,0,0,死球
パリーグ,オリックス,ヘルマン,2014,06/18,2,3,空三振
パリーグ,オリックス,ヘルマン,2014,06/18,1,2,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,06/17,2,3,空三振
パリーグ,オリックス,ヘルマン,2014,06/17,1,3,遊併打
パリーグ,オリックス,ヘルマン,2014,06/17,2,1,空三振
パリーグ,オリックス,ヘルマン,2014,06/17,2,2,見三振
パリーグ,オリックス,ヘルマン,2014,06/14,2,2,中安
パリーグ,オリックス,ヘルマン,2014,06/14,2,1,左飛
パリーグ,オリックス,ヘルマン,2014,06/14,2,3,空三振
パリーグ,オリックス,ヘルマン,2014,06/14,1,1,左本(1)
パリーグ,オリックス,ヘルマン,2014,06/12,1,1,中安
パリーグ,オリックス,ヘルマン,2014,06/12,2,1,左安(2)
パリーグ,オリックス,ヘルマン,2014,06/12,2,2,空三振
パリーグ,オリックス,ヘルマン,2014,06/12,2,3,四球
パリーグ,オリックス,ヘルマン,2014,06/12,0,3,四球
パリーグ,オリックス,ヘルマン,2014,06/11,0,1,右２(1)
パリーグ,オリックス,ヘルマン,2014,06/11,1,0,中飛
パリーグ,オリックス,ヘルマン,2014,06/11,1,2,左安
パリーグ,オリックス,ヘルマン,2014,06/11,0,0,遊併打
パリーグ,オリックス,ヘルマン,2014,06/09,1,0,中安
パリーグ,オリックス,ヘルマン,2014,06/09,2,2,二併打
パリーグ,オリックス,ヘルマン,2014,06/09,1,1,一飛
パリーグ,オリックス,ヘルマン,2014,06/09,0,0,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,06/08,1,2,左本(1)
パリーグ,オリックス,ヘルマン,2014,06/08,1,1,中安
パリーグ,オリックス,ヘルマン,2014,06/08,0,1,中安(1)
パリーグ,オリックス,ヘルマン,2014,06/08,1,0,中安
パリーグ,オリックス,ヘルマン,2014,06/08,2,0,空三振
パリーグ,オリックス,ヘルマン,2014,06/07,2,3,見三振
パリーグ,オリックス,ヘルマン,2014,06/07,2,1,空三振
パリーグ,オリックス,ヘルマン,2014,06/07,1,3,右飛
パリーグ,オリックス,ヘルマン,2014,06/07,2,2,右飛
パリーグ,オリックス,ヘルマン,2014,06/06,0,0,三ゴロ
パリーグ,オリックス,ヘルマン,2014,06/06,1,3,投ゴロ
パリーグ,オリックス,ヘルマン,2014,06/06,2,2,左飛
パリーグ,オリックス,ヘルマン,2014,06/06,0,3,四球
パリーグ,オリックス,ヘルマン,2014,06/06,0,0,右飛
パリーグ,オリックス,ヘルマン,2014,06/04,0,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,06/04,2,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,06/04,1,0,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,06/04,2,2,右安
パリーグ,オリックス,ヘルマン,2014,06/03,2,1,三ゴロ
パリーグ,オリックス,ヘルマン,2014,06/03,2,2,空三振
パリーグ,オリックス,ヘルマン,2014,06/03,0,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,06/03,0,3,四球
パリーグ,オリックス,ヘルマン,2014,06/01,0,0,中安
パリーグ,オリックス,ヘルマン,2014,06/01,1,3,中２
パリーグ,オリックス,ヘルマン,2014,06/01,2,2,空三振
パリーグ,オリックス,ヘルマン,2014,06/01,2,1,二ゴロ
パリーグ,オリックス,ヘルマン,2014,06/01,2,2,空三振
パリーグ,オリックス,ヘルマン,2014,05/31,2,0,空三振
パリーグ,オリックス,ヘルマン,2014,05/31,2,3,一ゴロ
パリーグ,オリックス,ヘルマン,2014,05/31,2,3,投ゴロ
パリーグ,オリックス,ヘルマン,2014,05/31,0,1,中飛
パリーグ,オリックス,ヘルマン,2014,05/31,0,0,右飛
パリーグ,オリックス,ヘルマン,2014,05/29,0,0,右飛
パリーグ,オリックス,ヘルマン,2014,05/29,1,1,二ゴロ
パリーグ,オリックス,ヘルマン,2014,05/29,2,0,一ゴロ
パリーグ,オリックス,ヘルマン,2014,05/29,1,0,遊ゴロ(1)
パリーグ,オリックス,ヘルマン,2014,05/28,2,1,中飛
パリーグ,オリックス,ヘルマン,2014,05/28,0,0,中飛
パリーグ,オリックス,ヘルマン,2014,05/28,1,0,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,05/28,1,1,右飛
パリーグ,オリックス,ヘルマン,2014,05/26,0,2,右飛
パリーグ,オリックス,ヘルマン,2014,05/26,0,0,中安
パリーグ,オリックス,ヘルマン,2014,05/26,1,1,左２
パリーグ,オリックス,ヘルマン,2014,05/26,2,2,中飛
パリーグ,オリックス,ヘルマン,2014,05/26,0,2,一邪飛
パリーグ,オリックス,ヘルマン,2014,05/25,1,0,左２
パリーグ,オリックス,ヘルマン,2014,05/25,2,1,見三振
パリーグ,オリックス,ヘルマン,2014,05/25,2,3,四球
パリーグ,オリックス,ヘルマン,2014,05/25,2,2,三ゴロ
パリーグ,オリックス,ヘルマン,2014,05/23,0,0,左２
パリーグ,オリックス,ヘルマン,2014,05/23,1,3,四球
パリーグ,オリックス,ヘルマン,2014,05/23,2,3,見三振
パリーグ,オリックス,ヘルマン,2014,05/21,2,3,空三振
パリーグ,オリックス,ヘルマン,2014,05/21,2,2,投ゴロ
パリーグ,オリックス,ヘルマン,2014,05/21,2,3,二直
パリーグ,オリックス,ヘルマン,2014,05/21,2,2,空三振
パリーグ,オリックス,ヘルマン,2014,05/21,1,0,一犠打
パリーグ,オリックス,ヘルマン,2014,05/20,1,1,二ゴロ(1)
パリーグ,オリックス,ヘルマン,2014,05/20,1,3,左本(2)
パリーグ,オリックス,ヘルマン,2014,05/20,2,1,右安
パリーグ,オリックス,ヘルマン,2014,05/20,2,2,三ゴロ
パリーグ,オリックス,ヘルマン,2014,05/18,1,3,四球
パリーグ,オリックス,ヘルマン,2014,05/18,1,0,左安(2)
パリーグ,オリックス,ヘルマン,2014,05/18,1,0,中飛
パリーグ,オリックス,ヘルマン,2014,05/18,0,2,三ゴロ
パリーグ,オリックス,ヘルマン,2014,05/17,1,2,一ゴロ
パリーグ,オリックス,ヘルマン,2014,05/17,2,2,右飛
パリーグ,オリックス,ヘルマン,2014,05/17,2,1,空三振
パリーグ,オリックス,ヘルマン,2014,05/17,2,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,05/17,2,3,見三振
パリーグ,オリックス,ヘルマン,2014,05/16,2,2,二ゴロ
パリーグ,オリックス,ヘルマン,2014,05/16,0,1,左安
パリーグ,オリックス,ヘルマン,2014,05/16,0,0,右飛
パリーグ,オリックス,ヘルマン,2014,05/16,1,3,中２(1)
パリーグ,オリックス,ヘルマン,2014,05/16,2,3,右２
パリーグ,オリックス,ヘルマン,2014,05/14,2,0,空三振
パリーグ,オリックス,ヘルマン,2014,05/14,2,0,空三振
パリーグ,オリックス,ヘルマン,2014,05/14,0,1,右２(2)
パリーグ,オリックス,ヘルマン,2014,05/14,0,1,二ゴロ
パリーグ,オリックス,ヘルマン,2014,05/14,2,3,右飛
パリーグ,オリックス,ヘルマン,2014,05/14,2,0,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,05/13,2,3,四球
パリーグ,オリックス,ヘルマン,2014,05/13,0,2,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,05/13,1,1,一邪飛
パリーグ,オリックス,ヘルマン,2014,05/13,1,0,三ゴロ
パリーグ,オリックス,ヘルマン,2014,05/11,1,0,中飛
パリーグ,オリックス,ヘルマン,2014,05/11,2,2,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,05/11,2,3,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,05/11,2,0,二併打
パリーグ,オリックス,ヘルマン,2014,05/10,2,3,中飛
パリーグ,オリックス,ヘルマン,2014,05/10,0,1,左安
パリーグ,オリックス,ヘルマン,2014,05/10,2,2,右安
パリーグ,オリックス,ヘルマン,2014,05/10,2,1,投ゴロ
パリーグ,オリックス,ヘルマン,2014,05/09,1,1,投安
パリーグ,オリックス,ヘルマン,2014,05/09,1,1,中安
パリーグ,オリックス,ヘルマン,2014,05/09,0,0,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,05/09,2,3,四球
パリーグ,オリックス,ヘルマン,2014,05/07,1,1,右飛
パリーグ,オリックス,ヘルマン,2014,05/07,2,2,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,05/07,0,0,三ゴロ
パリーグ,オリックス,ヘルマン,2014,05/07,2,2,二ゴロ
パリーグ,オリックス,ヘルマン,2014,05/07,2,0,右安
パリーグ,オリックス,ヘルマン,2014,05/06,0,3,四球
パリーグ,オリックス,ヘルマン,2014,05/06,2,1,中安
パリーグ,オリックス,ヘルマン,2014,05/06,0,2,左２(2)
パリーグ,オリックス,ヘルマン,2014,05/06,1,3,三ゴロ
パリーグ,オリックス,ヘルマン,2014,05/06,1,0,中飛
パリーグ,オリックス,ヘルマン,2014,05/05,2,3,左安
パリーグ,オリックス,ヘルマン,2014,05/05,2,3,見三振
パリーグ,オリックス,ヘルマン,2014,05/05,2,3,四球
パリーグ,オリックス,ヘルマン,2014,05/05,1,0,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,05/04,1,2,中安
パリーグ,オリックス,ヘルマン,2014,05/04,1,2,中安
パリーグ,オリックス,ヘルマン,2014,05/04,2,2,空三振
パリーグ,オリックス,ヘルマン,2014,05/04,2,1,空三振
パリーグ,オリックス,ヘルマン,2014,05/03,0,0,左安
パリーグ,オリックス,ヘルマン,2014,05/03,2,2,三ゴロ
パリーグ,オリックス,ヘルマン,2014,05/03,0,0,右飛
パリーグ,オリックス,ヘルマン,2014,05/03,2,1,中飛
パリーグ,オリックス,ヘルマン,2014,05/03,2,0,右安
パリーグ,オリックス,ヘルマン,2014,05/02,2,2,右飛
パリーグ,オリックス,ヘルマン,2014,05/02,2,1,見三振
パリーグ,オリックス,ヘルマン,2014,05/02,2,0,左本(1)
パリーグ,オリックス,ヘルマン,2014,05/02,0,0,二飛
パリーグ,オリックス,ヘルマン,2014,05/01,1,0,右飛
パリーグ,オリックス,ヘルマン,2014,05/01,1,1,中安
パリーグ,オリックス,ヘルマン,2014,05/01,2,1,二ゴロ
パリーグ,オリックス,ヘルマン,2014,05/01,2,3,空三振
パリーグ,オリックス,ヘルマン,2014,04/30,2,2,右２
パリーグ,オリックス,ヘルマン,2014,04/30,0,0,右飛
パリーグ,オリックス,ヘルマン,2014,04/30,2,3,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,04/30,2,3,四球
パリーグ,オリックス,ヘルマン,2014,04/29,2,2,二飛
パリーグ,オリックス,ヘルマン,2014,04/29,0,0,中安
パリーグ,オリックス,ヘルマン,2014,04/29,2,2,空三振
パリーグ,オリックス,ヘルマン,2014,04/29,2,1,空三振
パリーグ,オリックス,ヘルマン,2014,04/27,0,0,右飛
パリーグ,オリックス,ヘルマン,2014,04/27,2,3,三ゴロ
パリーグ,オリックス,ヘルマン,2014,04/27,0,1,二ゴロ
パリーグ,オリックス,ヘルマン,2014,04/27,1,1,一ゴロ
パリーグ,オリックス,ヘルマン,2014,04/26,1,0,右安
パリーグ,オリックス,ヘルマン,2014,04/26,2,3,四球
パリーグ,オリックス,ヘルマン,2014,04/26,2,2,中安
パリーグ,オリックス,ヘルマン,2014,04/26,2,2,右犠飛(1)
パリーグ,オリックス,ヘルマン,2014,04/25,2,1,三ゴロ
パリーグ,オリックス,ヘルマン,2014,04/25,1,0,左安(2)
パリーグ,オリックス,ヘルマン,2014,04/25,2,1,見三振
パリーグ,オリックス,ヘルマン,2014,04/25,2,1,投ゴロ
パリーグ,オリックス,ヘルマン,2014,04/25,0,1,一ゴロ
パリーグ,オリックス,ヘルマン,2014,04/23,2,1,空三振
パリーグ,オリックス,ヘルマン,2014,04/23,2,1,見三振
パリーグ,オリックス,ヘルマン,2014,04/23,2,2,左２
パリーグ,オリックス,ヘルマン,2014,04/23,0,0,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,04/22,1,2,中飛
パリーグ,オリックス,ヘルマン,2014,04/22,2,3,中２(2)
パリーグ,オリックス,ヘルマン,2014,04/22,0,0,二ゴロ
パリーグ,オリックス,ヘルマン,2014,04/22,0,1,三ゴロ
パリーグ,オリックス,ヘルマン,2014,04/20,2,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,04/20,1,0,三ゴロ
パリーグ,オリックス,ヘルマン,2014,04/20,0,1,三ゴロ
パリーグ,オリックス,ヘルマン,2014,04/20,2,3,二ゴロ
パリーグ,オリックス,ヘルマン,2014,04/19,2,2,二ゴロ
パリーグ,オリックス,ヘルマン,2014,04/19,0,0,中３(1)
パリーグ,オリックス,ヘルマン,2014,04/19,1,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,04/19,2,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,04/18,2,1,空三振
パリーグ,オリックス,ヘルマン,2014,04/18,0,0,中飛
パリーグ,オリックス,ヘルマン,2014,04/18,2,3,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,04/18,2,2,空三振
パリーグ,オリックス,ヘルマン,2014,04/17,2,3,二飛
パリーグ,オリックス,ヘルマン,2014,04/17,2,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,04/17,0,0,二ゴロ
パリーグ,オリックス,ヘルマン,2014,04/17,1,1,右飛
パリーグ,オリックス,ヘルマン,2014,04/16,2,3,四球
パリーグ,オリックス,ヘルマン,2014,04/16,0,0,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,04/16,2,2,右飛
パリーグ,オリックス,ヘルマン,2014,04/16,2,3,中飛
パリーグ,オリックス,ヘルマン,2014,04/15,2,3,右飛
パリーグ,オリックス,ヘルマン,2014,04/15,2,3,見三振
パリーグ,オリックス,ヘルマン,2014,04/15,2,0,空三振
パリーグ,オリックス,ヘルマン,2014,04/15,2,2,中安
パリーグ,オリックス,ヘルマン,2014,04/13,2,2,左安
パリーグ,オリックス,ヘルマン,2014,04/13,2,2,三ゴロ
パリーグ,オリックス,ヘルマン,2014,04/13,1,2,三ゴロ
パリーグ,オリックス,ヘルマン,2014,04/13,2,3,四球
パリーグ,オリックス,ヘルマン,2014,04/12,1,3,四球
パリーグ,オリックス,ヘルマン,2014,04/12,0,0,二ゴロ
パリーグ,オリックス,ヘルマン,2014,04/12,1,1,捕ゴロ
パリーグ,オリックス,ヘルマン,2014,04/12,2,1,右安
パリーグ,オリックス,ヘルマン,2014,04/12,2,2,空三振
パリーグ,オリックス,ヘルマン,2014,04/10,2,3,中飛
パリーグ,オリックス,ヘルマン,2014,04/10,0,0,中安
パリーグ,オリックス,ヘルマン,2014,04/10,0,2,遊併打
パリーグ,オリックス,ヘルマン,2014,04/10,2,3,左本(3)
パリーグ,オリックス,ヘルマン,2014,04/09,2,3,空三振
パリーグ,オリックス,ヘルマン,2014,04/09,0,1,二野選
パリーグ,オリックス,ヘルマン,2014,04/09,2,3,四球
パリーグ,オリックス,ヘルマン,2014,04/09,2,1,中安
パリーグ,オリックス,ヘルマン,2014,04/09,2,1,空三振
パリーグ,オリックス,ヘルマン,2014,04/08,0,0,右安
パリーグ,オリックス,ヘルマン,2014,04/08,2,2,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,04/08,1,0,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,04/08,2,1,左安
パリーグ,オリックス,ヘルマン,2014,04/06,1,0,三安
パリーグ,オリックス,ヘルマン,2014,04/06,2,2,三ゴロ
パリーグ,オリックス,ヘルマン,2014,04/06,1,1,中安
パリーグ,オリックス,ヘルマン,2014,04/06,2,3,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,04/05,0,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,04/05,0,0,右飛
パリーグ,オリックス,ヘルマン,2014,04/05,1,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,04/05,2,2,二ゴロ
パリーグ,オリックス,ヘルマン,2014,04/04,2,2,空三振
パリーグ,オリックス,ヘルマン,2014,04/04,2,3,左安
パリーグ,オリックス,ヘルマン,2014,04/04,1,3,中飛
パリーグ,オリックス,ヘルマン,2014,04/04,2,2,空三振
パリーグ,オリックス,ヘルマン,2014,04/03,2,3,空三振
パリーグ,オリックス,ヘルマン,2014,04/03,0,3,四球
パリーグ,オリックス,ヘルマン,2014,04/03,0,1,中犠飛(1)
パリーグ,オリックス,ヘルマン,2014,04/03,2,1,右飛
パリーグ,オリックス,ヘルマン,2014,04/03,2,3,四球
パリーグ,オリックス,ヘルマン,2014,04/02,1,0,左安
パリーグ,オリックス,ヘルマン,2014,04/02,2,2,空三振
パリーグ,オリックス,ヘルマン,2014,04/02,0,3,四球
パリーグ,オリックス,ヘルマン,2014,04/02,0,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,04/02,2,0,空三振
パリーグ,オリックス,ヘルマン,2014,04/01,2,1,見三振
パリーグ,オリックス,ヘルマン,2014,04/01,1,0,中安(1)
パリーグ,オリックス,ヘルマン,2014,04/01,0,1,右２(1)
パリーグ,オリックス,ヘルマン,2014,04/01,2,1,空三振
パリーグ,オリックス,ヘルマン,2014,03/30,2,2,空三振
パリーグ,オリックス,ヘルマン,2014,03/30,2,1,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,03/30,2,0,二ゴロ
パリーグ,オリックス,ヘルマン,2014,03/30,2,0,空三振
パリーグ,オリックス,ヘルマン,2014,03/30,2,2,投ゴロ
パリーグ,オリックス,ヘルマン,2014,03/29,0,1,三安
パリーグ,オリックス,ヘルマン,2014,03/29,2,1,右安
パリーグ,オリックス,ヘルマン,2014,03/29,1,0,遊ゴロ
パリーグ,オリックス,ヘルマン,2014,03/29,1,2,中安(1)
パリーグ,オリックス,ヘルマン,2014,03/29,2,2,見三振
パリーグ,オリックス,ヘルマン,2014,03/28,1,3,四球
パリーグ,オリックス,ヘルマン,2014,03/28,0,0,一邪飛
パリーグ,オリックス,ヘルマン,2014,03/28,1,3,四球
パリーグ,オリックス,ヘルマン,2014,03/28,2,1,二ゴロ
パリーグ,オリックス,ヘルマン,2014,03/28,1,0,左飛
パリーグ,オリックス,川端　崇義,2014,10/07,1,0,中安
パリーグ,オリックス,川端　崇義,2014,10/07,2,0,二ゴロ
パリーグ,オリックス,川端　崇義,2014,10/07,0,0,左飛
パリーグ,オリックス,川端　崇義,2014,10/07,2,3,空三振
パリーグ,オリックス,川端　崇義,2014,10/07,0,0,投ゴロ
パリーグ,オリックス,川端　崇義,2014,10/04,1,1,一ゴロ
パリーグ,オリックス,川端　崇義,2014,10/04,2,0,空三振
パリーグ,オリックス,川端　崇義,2014,10/02,2,3,中安
パリーグ,オリックス,川端　崇義,2014,10/02,1,1,投直
パリーグ,オリックス,川端　崇義,2014,10/02,0,0,投犠打
パリーグ,オリックス,川端　崇義,2014,10/02,1,0,二ゴロ
パリーグ,オリックス,川端　崇義,2014,09/30,1,1,一ゴロ
パリーグ,オリックス,川端　崇義,2014,09/30,1,0,中犠飛(1)
パリーグ,オリックス,川端　崇義,2014,09/30,0,0,投犠打
パリーグ,オリックス,川端　崇義,2014,09/30,0,1,二ゴロ
パリーグ,オリックス,川端　崇義,2014,09/29,0,0,右邪飛
パリーグ,オリックス,川端　崇義,2014,09/29,1,2,中安
パリーグ,オリックス,川端　崇義,2014,09/29,2,1,一ゴロ
パリーグ,オリックス,川端　崇義,2014,09/29,2,0,中安
パリーグ,オリックス,川端　崇義,2014,09/28,2,2,二直
パリーグ,オリックス,川端　崇義,2014,09/28,1,0,投犠打
パリーグ,オリックス,川端　崇義,2014,09/28,2,1,一ゴロ
パリーグ,オリックス,川端　崇義,2014,09/28,2,1,三飛
パリーグ,オリックス,川端　崇義,2014,09/27,2,0,遊ゴロ
パリーグ,オリックス,川端　崇義,2014,09/27,2,2,空三振
パリーグ,オリックス,川端　崇義,2014,09/27,0,0,三安
パリーグ,オリックス,川端　崇義,2014,09/27,2,3,四球
パリーグ,オリックス,川端　崇義,2014,09/26,1,0,左本(1)
パリーグ,オリックス,川端　崇義,2014,09/26,2,2,右安(1)
パリーグ,オリックス,川端　崇義,2014,09/24,2,2,右安
パリーグ,オリックス,川端　崇義,2014,09/24,2,3,中２
パリーグ,オリックス,川端　崇義,2014,09/24,1,0,投犠打
パリーグ,オリックス,川端　崇義,2014,09/21,2,3,二ゴロ(1)
パリーグ,オリックス,川端　崇義,2014,09/19,2,0,投併打
パリーグ,オリックス,川端　崇義,2014,09/19,1,1,右安
パリーグ,オリックス,川端　崇義,2014,09/19,0,0,右飛
パリーグ,オリックス,川端　崇義,2014,09/18,0,1,投ゴロ
パリーグ,オリックス,川端　崇義,2014,09/18,1,2,遊ゴロ
パリーグ,オリックス,川端　崇義,2014,09/18,2,2,空三振
パリーグ,オリックス,川端　崇義,2014,09/16,0,0,三安
パリーグ,オリックス,川端　崇義,2014,09/16,2,1,空三振
パリーグ,オリックス,川端　崇義,2014,09/16,1,0,遊ゴロ
パリーグ,オリックス,川端　崇義,2014,09/15,2,0,遊飛
パリーグ,オリックス,川端　崇義,2014,09/14,2,2,遊ゴロ
パリーグ,オリックス,川端　崇義,2014,09/14,2,2,空三振
パリーグ,オリックス,川端　崇義,2014,09/14,1,1,遊飛
パリーグ,オリックス,川端　崇義,2014,09/14,2,2,投ゴロ
パリーグ,オリックス,川端　崇義,2014,09/13,2,1,三ゴロ
パリーグ,オリックス,川端　崇義,2014,09/13,0,1,一ゴロ
パリーグ,オリックス,川端　崇義,2014,09/13,1,2,右安
パリーグ,オリックス,川端　崇義,2014,09/10,1,2,一ゴロ
パリーグ,オリックス,川端　崇義,2014,09/10,2,2,遊ゴロ
パリーグ,オリックス,川端　崇義,2014,09/10,2,0,投ゴロ
パリーグ,オリックス,川端　崇義,2014,09/09,2,0,遊ゴロ
パリーグ,オリックス,川端　崇義,2014,09/09,0,0,三安
パリーグ,オリックス,川端　崇義,2014,09/09,1,2,遊失
パリーグ,オリックス,川端　崇義,2014,09/09,1,0,三ゴロ
パリーグ,オリックス,川端　崇義,2014,09/09,2,2,右犠飛(1)
パリーグ,オリックス,川端　崇義,2014,09/08,2,2,空三振
パリーグ,オリックス,川端　崇義,2014,09/08,1,2,右飛
パリーグ,オリックス,川端　崇義,2014,09/08,2,1,死球
パリーグ,オリックス,川端　崇義,2014,09/06,1,1,三ゴロ
パリーグ,オリックス,川端　崇義,2014,09/06,2,1,空三振
パリーグ,オリックス,川端　崇義,2014,09/06,0,0,右飛
パリーグ,オリックス,川端　崇義,2014,09/04,2,3,四球
パリーグ,オリックス,川端　崇義,2014,09/04,1,2,死球
パリーグ,オリックス,川端　崇義,2014,09/04,2,2,左安
パリーグ,オリックス,川端　崇義,2014,09/03,2,3,四球
パリーグ,オリックス,川端　崇義,2014,09/03,2,3,空三振
パリーグ,オリックス,川端　崇義,2014,09/03,2,2,右飛
パリーグ,オリックス,川端　崇義,2014,09/03,1,1,一ゴロ
パリーグ,オリックス,川端　崇義,2014,09/02,1,0,遊ゴロ
パリーグ,オリックス,川端　崇義,2014,08/31,2,1,三ゴロ
パリーグ,オリックス,川端　崇義,2014,08/31,2,1,空三振
パリーグ,オリックス,川端　崇義,2014,08/31,2,2,空三振
パリーグ,オリックス,川端　崇義,2014,08/30,0,1,中安
パリーグ,オリックス,川端　崇義,2014,08/30,2,2,空三振
パリーグ,オリックス,川端　崇義,2014,08/30,0,0,中安
パリーグ,オリックス,川端　崇義,2014,08/30,1,3,四球
パリーグ,オリックス,川端　崇義,2014,08/30,1,1,遊飛
パリーグ,オリックス,川端　崇義,2014,08/30,1,1,死球
パリーグ,オリックス,川端　崇義,2014,08/29,1,1,中安
パリーグ,オリックス,川端　崇義,2014,08/29,2,3,二ゴロ
